time,open,high,low,close
2020-04-07T00:00:00Z,237.5,246,228.9,231.6
2020-04-08T00:00:00Z,231.6,243.7,230.7,241.9
2020-04-09T00:00:00Z,241.9,243.1,235.6,239.7
2020-04-10T00:00:00Z,239.7,240.2,221.7,230
2020-04-11T00:00:00Z,230,235.9,227.7,231.9
2020-04-12T00:00:00Z,231.9,238.9,229.1,232.5
2020-04-13T00:00:00Z,232.2,232.3,223.7,229.8
2020-04-14T00:00:00Z,229.9,230.7,224.9,226.8
2020-04-15T00:00:00Z,226.8,230.1,220.7,221.2
2020-04-16T00:00:00Z,221.1,231.9,212.9,229.6
2020-04-17T00:00:00Z,229.7,230.9,225.8,228.9
2020-04-18T00:00:00Z,228.8,236,228.6,234.9
2020-04-19T00:00:00Z,234.9,235.5,228.5,230.1
2020-04-20T00:00:00Z,230,234.9,221,223.3
2020-04-21T00:00:00Z,223.3,228.6,222.3,225.8
2020-04-22T00:00:00Z,225.8,229.9,224,228.1
2020-04-23T00:00:00Z,228.1,237.9,226.4,233.2
2020-04-24T00:00:00Z,233.2,239.1,233,234.2
2020-04-25T00:00:00Z,234.5,238,233.6,236.1
2020-04-26T00:00:00Z,236,239.7,235.1,239.3
2020-04-27T00:00:00Z,239.3,243.2,237.2,240.9
2020-04-28T00:00:00Z,240.9,265.3,237.9,260.6
2020-04-29T00:00:00Z,260.6,275,259.3,272
2020-04-30T00:00:00Z,272,285.8,251.2,256.4
2020-05-01T00:00:00Z,256.7,272.3,256,265.7
2020-05-02T00:00:00Z,265.8,274,262.1,271.7
2020-05-03T00:00:00Z,271.6,275,265,268.7
2020-05-04T00:00:00Z,268.7,270.1,254.2,266
2020-05-05T00:00:00Z,266.3,269.3,261.1,264.1
2020-05-06T00:00:00Z,264.1,269.6,260.3,261.4
2020-05-07T00:00:00Z,261.5,266.2,258,263.3
2020-05-08T00:00:00Z,263.3,268.5,260.4,264.5
2020-05-09T00:00:00Z,264.5,269.9,262.1,262.3
2020-05-10T00:00:00Z,262.3,262.3,231.8,241.6
2020-05-11T00:00:00Z,241.5,245,228.1,234.5
2020-05-12T00:00:00Z,234.7,242.4,233.5,238.7
2020-05-13T00:00:00Z,238.7,245.9,237.9,244.5
2020-05-14T00:00:00Z,244.5,248.7,241,245.3
2020-05-15T00:00:00Z,245.3,246,239.3,240.7
2020-05-16T00:00:00Z,240.7,244.9,239.1,240.7
2020-05-17T00:00:00Z,241.1,244.7,240.4,241.5
2020-05-18T00:00:00Z,241.6,248.5,241.5,246.9
2020-05-19T00:00:00Z,246.8,247.6,243.1,246
2020-05-20T00:00:00Z,245.7,247,240.9,244.8
2020-05-21T00:00:00Z,244.8,246,230,237.6
2020-05-22T00:00:00Z,237.6,246,234.2,243.3
2020-05-23T00:00:00Z,243.1,245.3,240.8,241.2
2020-05-24T00:00:00Z,241.2,243.2,235.5,235.6
2020-05-25T00:00:00Z,235.4,239.8,232.9,238.6
2020-05-26T00:00:00Z,238.7,239.4,233.5,235
2020-05-27T00:00:00Z,235.3,242,235.1,239.8
2020-05-28T00:00:00Z,239.8,242.6,237.7,242.4
2020-05-29T00:00:00Z,242.4,244.3,237.1,239.1
2020-05-30T00:00:00Z,239.1,248.3,237.7,247.5
2020-05-31T00:00:00Z,247.4,256.6,243.1,244.9
2020-06-01T00:00:00Z,244.9,251.4,243.7,249.7
2020-06-02T00:00:00Z,249.8,255.8,239.6,245.9
2020-06-03T00:00:00Z,245.9,247.1,243.3,246.1
2020-06-04T00:00:00Z,246.3,250.7,243.4,246
2020-06-05T00:00:00Z,246,247.2,243.1,244.6
2020-06-06T00:00:00Z,244.2,246.1,243,245
2020-06-07T00:00:00Z,244.9,245.9,240.3,243.8
2020-06-08T00:00:00Z,243.9,244.3,241.5,243.6
2020-06-09T00:00:00Z,243.7,244.7,240.7,240.8
2020-06-10T00:00:00Z,240.8,242,239.8,240.7
2020-06-11T00:00:00Z,241,241.2,223,225
2020-06-12T00:00:00Z,225,234.4,223.3,232.4
2020-06-13T00:00:00Z,232.5,233.6,229.9,231.2
2020-06-14T00:00:00Z,231.3,231.6,227.7,229
2020-06-15T00:00:00Z,229,232.4,220,231.5
2020-06-16T00:00:00Z,231.5,232.5,228.7,231.2
2020-06-17T00:00:00Z,231.2,240,230,233.3
2020-06-18T00:00:00Z,233.6,233.6,227.7,229.2
2020-06-19T00:00:00Z,229.3,229.9,225.7,227
2020-06-20T00:00:00Z,227.1,228.4,225,227.4
2020-06-21T00:00:00Z,227.4,227.8,224.6,225.1
2020-06-22T00:00:00Z,225.1,227.9,224.6,227
2020-06-23T00:00:00Z,227,228.3,225.4,225.7
2020-06-24T00:00:00Z,225.7,227,219.3,221.3
2020-06-25T00:00:00Z,221.4,222.3,215.1,219
2020-06-26T00:00:00Z,219,225.2,215,219.3
2020-06-27T00:00:00Z,219.3,220.5,207.7,212.1
2020-06-28T00:00:00Z,212.1,216.7,208.6,212.7
2020-06-29T00:00:00Z,212.9,214.3,210.2,212
2020-06-30T00:00:00Z,212,212.2,209.4,209.4
2020-07-01T00:00:00Z,209.4,213.2,208.2,211.1
2020-07-02T00:00:00Z,211.1,212,207.3,209.1
2020-07-03T00:00:00Z,209.1,213.5,208.7,210.7
2020-07-04T00:00:00Z,210.8,214.3,210.7,212.1
2020-07-05T00:00:00Z,212.5,213,208.5,211.2
2020-07-06T00:00:00Z,211.4,223.9,210.4,223
2020-07-07T00:00:00Z,222.9,223.6,217.7,219.6
2020-07-08T00:00:00Z,219.3,243.6,218.4,242.2
2020-07-09T00:00:00Z,242.2,250,233.9,240.1
2020-07-10T00:00:00Z,240.1,240.5,230.4,236.5
2020-07-11T00:00:00Z,236.6,243,235.3,238.6
2020-07-12T00:00:00Z,238.6,240.9,235.1,238.5
2020-07-13T00:00:00Z,238.6,244.9,231.4,236.5
2020-07-14T00:00:00Z,236.4,238,233.1,236.6
2020-07-15T00:00:00Z,236.9,237.4,234.4,235
2020-07-16T00:00:00Z,235.2,235.6,226.1,232.5
2020-07-17T00:00:00Z,232.5,236.7,227.6,232.3
2020-07-18T00:00:00Z,232.1,240.3,231.2,237.7
2020-07-19T00:00:00Z,237.7,240.2,233.8,237.2
2020-07-20T00:00:00Z,237,237.8,230.3,232.7
2020-07-21T00:00:00Z,232.6,239.4,231.7,235.9
2020-07-22T00:00:00Z,236,241.4,233.9,240.9
2020-07-23T00:00:00Z,240.9,248.2,238.7,246.2
2020-07-24T00:00:00Z,246.1,246.1,239.6,242.5
2020-07-25T00:00:00Z,242.4,256.6,242,254
2020-07-26T00:00:00Z,253.9,266,251.3,253.8
2020-07-27T00:00:00Z,253.8,267.7,248.5,262.5
2020-07-28T00:00:00Z,262.5,275,256.9,269.5
2020-07-29T00:00:00Z,269.5,295.3,268.1,287.3
2020-07-30T00:00:00Z,287.3,293.9,279,288.1
2020-07-31T00:00:00Z,288.1,308.4,285.7,306.8
2020-08-01T00:00:00Z,306.8,350,302.4,343.3
2020-08-02T00:00:00Z,343.3,384.6,303.7,339.3
2020-08-03T00:00:00Z,339.4,378,335.5,366.7
2020-08-04T00:00:00Z,366.6,377.3,347.3,358.5
2020-08-05T00:00:00Z,358.8,364.1,345.3,357.3
2020-08-06T00:00:00Z,357,366.4,350.9,357.7
2020-08-07T00:00:00Z,357.5,365.2,337.7,349.6
2020-08-08T00:00:00Z,349.6,353.5,343.7,348.3
2020-08-09T00:00:00Z,347.7,351.7,333.9,340.4
2020-08-10T00:00:00Z,340.4,352.8,340.1,347.1
